instruction,output
"쇼핑, 시티투어, 호캉스 여행, 지역 문화예술/공연/전시시설 관람, SNS 인생샷 여행(으)로 가려고 하는데, 대중교통 등을 이용 광주광역시 20대 여행지 추천","네온 댄스학원에 가보셨나요? 가보시지 않으셨다면, 네온 댄스학원을 추천드립니다."
"쇼핑, 시티투어, 호캉스 여행, 지역 문화예술/공연/전시시설 관람, SNS 인생샷 여행 가는데 0과 함께할 곳 추천해 주세요.","순수 박물관에 가보셨나요? 가보시지 않으셨다면, 순수 박물관을 추천드립니다."
나홀로 여행로 0명 과 여행지 추천,"해방촌 오거리에 가보셨나요? 가보시지 않으셨다면, 해방촌 오거리을 추천드립니다."
"이번 쇼핑, 드라마 촬영지 방문, 테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 지역 문화예술/공연/전시시설 관람를 위해 대중교통 등으로 여행가는데, 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 동묘벼룩시장입니다.
"쇼핑, 드라마 촬영지 방문, 테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 지역 문화예술/공연/전시시설 관람(으)로 가려고 하는데, 대중교통 등을 이용 경기도 20대 여행지 추천",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 동묘공원입니다.
"20대 입니다. 이번에 쇼핑, 드라마 촬영지 방문, 테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 지역 문화예술/공연/전시시설 관람 여행 가려고 합니다. 적당한 여행지를 추천해 주세요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 두타몰입니다.
"30대 남성이고, 이번에 온천/스파, 테마파크, 놀이시설, 동/식물원 방문, 시티투어, 야외 스포츠, 레포츠 활동로 여행을 떠납니다. 여행지 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 웅진플레이도시 워터파크 온천스파입니다.
"2인 가족 여행로 여행 가려는데, 추천해 줘",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 구캔 갤러리입니다.
"대전광역시에 사는 사람이 지역 문화예술/공연/전시시설 관람, 쇼핑, SNS 인생샷 여행로 여행갈만한 곳이 있나요? 1명 정도 될 것 같습니다.","찌드로잉에 가보셨나요? 가보시지 않으셨다면, 찌드로잉을 추천드립니다."
"1명과 쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 야외 스포츠, 레포츠 활동, 유흥/오락(나이트라이프), 지역 축제/이벤트 참가 여행을 떠나는데 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 대현네입니다.
"저는 Well-ness 여행, SNS 인생샷 여행, 인플루언서 따라하기 여행, 역사 유적지 방문을 선호하고, 1명과 함께 갈 예정입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 인천항 연안 부두입니다.
"자가용을 이용해서 갈 예정인데, 여행할 곳이 필요해요. 1명 과(와) 함께하는 여행입니다.","팔미도에 가보셨나요? 가보시지 않으셨다면, 팔미도을 추천드립니다."
"저는 30대 이고,  역사 유적지 방문을 떠나려고 합니다. 가 볼 만한 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 비브라사비입니다.
"SNS 인생샷 여행, 신규 여행지 발굴, 시티투어(으)로 가려고 하는데, 대중교통 등을 이용 서울특별시 20대 여행지 추천","모 브랜드 수원 호매실점에 가보셨나요? 가보시지 않으셨다면, 모 브랜드 수원 호매실점을 추천드립니다."
"이번 SNS 인생샷 여행, 신규 여행지 발굴, 시티투어를 위해 대중교통 등으로 여행가는데, 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 여민 각입니다.
"20대 인데, 이번에 SNS 인생샷 여행, 신규 여행지 발굴, 시티투어 여행 갑니다. 숙박 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 파닥파닥 클럽입니다.
"경기도 40대 남성, 여행지 추천","국립민속박물관 파주에 가보셨나요? 가보시지 않으셨다면, 국립민속박물관 파주을 추천드립니다."
"저는 20대 이고, 1명과 쇼핑, SNS 인생샷 여행, 시티투어, 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람을 떠납니다. 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 애브뉴 프랑 광교입니다.
"서울특별시에 살고 있는데, 2인 여행(가족 외)여행을 가려고 해요. 갈 만한 여행지가 있나요?","처갓집 양념치킨 우만점에 가보셨나요? 가보시지 않으셨다면, 처갓집 양념치킨 우만점을 추천드립니다."
"20대 인데, 이번에 온천/스파, 시티투어, 야외 스포츠, 레포츠 활동, 유흥/오락(나이트라이프) 여행 갑니다. 숙박 추천 해줘.","러시에 가보셨나요? 가보시지 않으셨다면, 러시을 추천드립니다."
"온천/스파, 시티투어, 야외 스포츠, 레포츠 활동, 유흥/오락(나이트라이프) 여행 가는데 1명과 함께할 곳 추천해 주세요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 젠틀몬스터 스타필드 하남점입니다.
"20대 입니다. 이번에 온천/스파, 시티투어, 야외 스포츠, 레포츠 활동, 유흥/오락(나이트라이프) 여행 가려고 합니다. 적당한 여행지를 추천해 주세요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 폴이 스타 스타필드 하남점입니다.
"이번 온천/스파, 시티투어, 야외 스포츠, 레포츠 활동, 유흥/오락(나이트라이프)를 위해 대중교통 등으로 여행가는데, 여행지 추천 해줘.","배럴 신세계백화점 스타필드 하남점에 가보셨나요? 가보시지 않으셨다면, 배럴 신세계백화점 스타필드 하남점을 추천드립니다."
"1명과 함께 온천/스파, 시티투어, 야외 스포츠, 레포츠 활동, 유흥/오락(나이트라이프)할 예정인데, 괜찮은 여행지를 추천해 줄 수 있나요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 안스 베이커리 스타필드 하남점입니다.
"저는 온천/스파, 시티투어, 야외 스포츠, 레포츠 활동, 유흥/오락(나이트라이프)을 선호하고, 1명과 함께 갈 예정입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 빅 히트 바다 낚시터입니다.
"쇼핑, Well-ness 여행, 역사 유적지 방문(으)로 가려고 하는데, 자가용을 이용 서울특별시 30대 여행지 추천",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 행궁 그리다입니다.
"1명 과 쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 시티투어, 지역 문화예술/공연/전시시설 관람로 여행을 계획하고 있습니다. 여행할 곳 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 금별 맥주 종로점입니다.
나홀로 여행로 0명 과 여행지 추천,유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 어비산 어비계곡입니다.
"저는 30대 이고,  Well-ness 여행, SNS 인생샷 여행, 친환경 여행(플로깅 여행), 야외 스포츠, 레포츠 활동, 캠핑을 떠납니다. 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 유명산입니다.
"대중교통 등을 이용해서 갈 예정인데, 여행할 곳이 필요해요. 1명 과(와) 함께하는 여행입니다.","채널 트웰브에 가보셨나요? 가보시지 않으셨다면, 채널 트웰브을 추천드립니다."
"저는 쇼핑, Well-ness 여행, SNS 인생샷 여행, 시티투어, 지역 문화예술/공연/전시시설 관람을 선호하고, 1명과 함께 갈 예정입니다.","월미 바다역에 가보셨나요? 가보시지 않으셨다면, 월미 바다역을 추천드립니다."
"드라마 촬영지 방문, 역사 유적지 방문(으)로 나홀로 여행을 계획하고 있는데, 추천할 만한 여행지가 있을까요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 수원 화성 박물관입니다.
나홀로 여행로 0명 과 여행지 추천,"봉주르 61-2(옷 가게)에 가보셨나요? 가보시지 않으셨다면, 봉주르 61-2(옷 가게)을 추천드립니다."
"나홀로 여행로 여행 가려는데, 추천해 줘","폴 바셋 AK플라자 수원점에 가보셨나요? 가보시지 않으셨다면, 폴 바셋 AK플라자 수원점을 추천드립니다."
"자녀 동반 여행으로 할 예정입니다. nan으로 이동하려는데, 추천할 만한 여행지가 있을까요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 영농조합 법 인장촌 마을입니다.
"저는 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 시티투어, 지역 문화예술/공연/전시시설 관람을 선호하고, 3명과 함께 갈 예정입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 아이비 랜드입니다.
"이번 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 시티투어, 지역 문화예술/공연/전시시설 관람를 위해 nan으로 여행가는데, 여행지 추천 해줘.","뚝 플레이스에 가보셨나요? 가보시지 않으셨다면, 뚝 플레이스을 추천드립니다."
자녀 동반 여행로 3명 과 여행지 추천,유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 카 포레입니다.
"2인 여행(가족 외)으로 쇼핑, SNS 인생샷 여행, 시티투어, 야외 스포츠, 레포츠 활동, 유흥/오락(나이트라이프) 여행을 계획 중인데 추천 해줘.","부천 자연 생태공원에 가보셨나요? 가보시지 않으셨다면, 부천 자연 생태공원을 추천드립니다."
"20대 인데, 이번에 쇼핑, SNS 인생샷 여행, 시티투어, 야외 스포츠, 레포츠 활동, 유흥/오락(나이트라이프) 여행 갑니다. 숙박 추천 해줘.","부천 자연 생태공원 자연 생태 박물관에 가보셨나요? 가보시지 않으셨다면, 부천 자연 생태공원 자연 생태 박물관을 추천드립니다."
"저는 20대 이고, 1명과 쇼핑, 드라마 촬영지 방문, 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행을 떠나려고 합니다. 가 볼 만한 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 에버랜드 정문 주차장입니다.
"수도권에 가 볼 만한 곳이 있을까요? 저는 쇼핑, 드라마 촬영지 방문, 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행을 좋아하고, 2인 여행(가족 외) 예정입니다.","에버랜드 범퍼카에 가보셨나요? 가보시지 않으셨다면, 에버랜드 범퍼카을 추천드립니다."
"1명 과 쇼핑, 교육/체험 프로그램 참가, 테마파크, 놀이시설, 동/식물원 방문, 지역 문화예술/공연/전시시설 관람로 여행을 계획하고 있습니다. 여행할 곳 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 한국잡월드입니다.
"2인 여행(가족 외)으로 할 예정입니다. 자가용으로 이동하려는데, 추천할 만한 여행지가 있을까요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 미사 경정공원 조정 카누경기장입니다.
"1명 과 쇼핑, SNS 인생샷 여행, 시티투어, 지역 문화예술/공연/전시시설 관람로 여행을 계획하고 있습니다. 여행할 곳 추천 부탁드려요.","잠실 롯데시네마 랜덤 스퀘어에 가보셨나요? 가보시지 않으셨다면, 잠실 롯데시네마 랜덤 스퀘어을 추천드립니다."
"온천/스파, Well-ness 여행, SNS 인생샷 여행, 신규 여행지 발굴, 인플루언서 따라하기 여행 가는데 2과 함께할 곳 추천해 주세요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 디온 카페입니다.
"이번 쇼핑, 캠핑, Well-ness 여행, SNS 인생샷 여행, 호캉스 여행, 반려동물 동반 여행로 3명과 함께 여행하려 합니다. 갈 만한 곳이 있을까요?","수수 카페에 가보셨나요? 가보시지 않으셨다면, 수수 카페을 추천드립니다."
"경기도에 살고 있는데, 2인 여행(가족 외)여행을 가려고 해요. 갈 만한 여행지가 있나요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 삼일 고등학교입니다.
"저는 20대 이고, 1명과 인플루언서 따라하기 여행, 지역 문화예술/공연/전시시설 관람을 떠나려고 합니다. 가 볼 만한 여행지 추천 해줘.","마이아트 뮤지엄에 가보셨나요? 가보시지 않으셨다면, 마이아트 뮤지엄을 추천드립니다."
"인플루언서 따라하기 여행, 지역 문화예술/공연/전시시설 관람 여행 가는데 1명과 함께할 곳 추천해 주세요.","온수골 온천에 가보셨나요? 가보시지 않으셨다면, 온수골 온천을 추천드립니다."
"야외 스포츠, 레포츠 활동, SNS 인생샷 여행(으)로 3인 이상 여행(가족 외) 여행을 계획하고 있는데, 추천할 만한 여행지가 있을까요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 101닭갈비입니다.
"야외 스포츠, 레포츠 활동, SNS 인생샷 여행(으)로 3인 이상 여행(가족 외) 여행을 계획하고 있는데, 추천할 만한 여행지가 있을까요?","카페 모아이에 가보셨나요? 가보시지 않으셨다면, 카페 모아이을 추천드립니다."
"6명과 함께 야외 스포츠, 레포츠 활동, SNS 인생샷 여행할 예정인데, 괜찮은 여행지를 추천해 줄 수 있나요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 약초 드림입니다.
"1명 과 SNS 인생샷 여행, 역사 유적지 방문, 시티투어로 여행을 계획하고 있습니다. 여행할 곳 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 국립민속박물관입니다.
"30대 여성이고, 이번에 지역 문화예술/공연/전시시설 관람, 인플루언서 따라하기 여행, 신규 여행지 발굴로 여행을 떠납니다. 여행지 추천 부탁드려요.","센티드뮤제에 가보셨나요? 가보시지 않으셨다면, 센티드뮤제을 추천드립니다."
나홀로 여행로 0명 과 여행지 추천,"콩치노 콘크리트에 가보셨나요? 가보시지 않으셨다면, 콩치노 콘크리트을 추천드립니다."
2인 여행(가족 외)로 1명 과 여행지 추천,유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 가보 족발 대화점입니다.
"강원도에 사는 사람이 Well-ness 여행, 야외 스포츠, 레포츠 활동, 시티투어, 쇼핑, 신규 여행지 발굴, 반려동물 동반 여행, 인플루언서 따라하기 여행로 여행갈만한 곳이 있나요? 1명 정도 될 것 같습니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 퍼핏 펜트하우스입니다.
3대 동반 여행(친척 포함)로 2명 과 여행지 추천,"연천군 연천 파크골프장에 가보셨나요? 가보시지 않으셨다면, 연천군 연천 파크골프장을 추천드립니다."
자녀 동반 여행로 3명 과 여행지 추천,유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 고양아람누리 아람미술관입니다.
"저는 30대 이고, 1명과 쇼핑, SNS 인생샷 여행, 시티투어을 떠납니다. 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 영등포 제2스포츠 센터입니다.
저는 20대 여성입니다. 2인 여행(가족 외)으로 여행 가려고 합니다. 여행지 추천 부탁드려요.,"고영 주택에 가보셨나요? 가보시지 않으셨다면, 고영 주택을 추천드립니다."
"30대 여성이고, 이번에 쇼핑, SNS 인생샷 여행로 여행을 떠납니다. 여행지 추천 부탁드려요.","양화한강공원에 가보셨나요? 가보시지 않으셨다면, 양화한강공원을 추천드립니다."
2인 가족 여행로 1명 과 여행지 추천,"은평역사한옥 박물관에 가보셨나요? 가보시지 않으셨다면, 은평역사한옥 박물관을 추천드립니다."
"저는 지역 문화예술/공연/전시시설 관람, 캠핑을 선호하고, 1명과 함께 갈 예정입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 은평 한옥마을입니다.
"저는 50대 이고, 3명과 온천/스파을 떠납니다. 추천 부탁드려요.","이천 미란다호텔 스파플러스에 가보셨나요? 가보시지 않으셨다면, 이천 미란다호텔 스파플러스을 추천드립니다."
"이번 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가, SNS 인생샷 여행를 위해 자가용으로 여행가는데, 여행지 추천 해줘.","경안천 습지생태공원에 가보셨나요? 가보시지 않으셨다면, 경안천 습지생태공원을 추천드립니다."
"30대 여성이고, 이번에 야외 스포츠, 레포츠 활동, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가, SNS 인생샷 여행로 여행을 떠납니다. 여행지 추천 부탁드려요.","기린 농장에 가보셨나요? 가보시지 않으셨다면, 기린 농장을 추천드립니다."
"1명과 쇼핑, 역사 유적지 방문, 시티투어, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가 여행을 떠나는데 여행지 추천 해줘.","산정호수 조각 공원에 가보셨나요? 가보시지 않으셨다면, 산정호수 조각 공원을 추천드립니다."
"1명과 쇼핑, 역사 유적지 방문, 시티투어, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가 여행을 떠나는데 여행지 추천 해줘.","한탄강 지질공원센터에 가보셨나요? 가보시지 않으셨다면, 한탄강 지질공원센터을 추천드립니다."
"수도권에 가 볼 만한 곳이 있을까요? 저는 쇼핑, 역사 유적지 방문, 시티투어, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가을 좋아하고, 2인 가족 여행 예정입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 한탄강 하늘다리입니다.
"수도권에 가 볼 만한 곳이 있을까요? 저는 쇼핑, 역사 유적지 방문, 시티투어, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가을 좋아하고, 2인 가족 여행 예정입니다.","한탄강 생태경관 단지에 가보셨나요? 가보시지 않으셨다면, 한탄강 생태경관 단지을 추천드립니다."
"이번 쇼핑, 역사 유적지 방문, 시티투어, 지역 문화예술/공연/전시시설 관람, 지역 축제/이벤트 참가로 1명과 함께 여행하려 합니다. 갈 만한 곳이 있을까요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 전통술 박물관 산파원 본원입니다.
"대전광역시 60대 여성, 여행지 추천","광암이 벽 유적지에 가보셨나요? 가보시지 않으셨다면, 광암이 벽 유적지을 추천드립니다."
"20대 인데, 이번에 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 역사 유적지 방문, 시티투어, 지역 문화예술/공연/전시시설 관람 여행 갑니다. 숙박 추천 해줘.","신미사에 가보셨나요? 가보시지 않으셨다면, 신미사을 추천드립니다."
"수도권에 가 볼 만한 곳이 있을까요? 저는 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 역사 유적지 방문, 시티투어, 지역 문화예술/공연/전시시설 관람을 좋아하고, 2인 여행(가족 외) 예정입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 브로콜리 숲입니다.
"테마파크, 놀이시설, 동/식물원 방문, 신규 여행지 발굴, 시티투어, 야외 스포츠, 레포츠 활동, 지역 축제/이벤트 참가 여행 가는데 1명과 함께할 곳 추천해 주세요.","베리의 커피에 가보셨나요? 가보시지 않으셨다면, 베리의 커피을 추천드립니다."
"40대 남성이고, 이번에 테마파크, 놀이시설, 동/식물원 방문, 신규 여행지 발굴, 시티투어, 야외 스포츠, 레포츠 활동, 지역 축제/이벤트 참가로 여행을 떠납니다. 여행지 추천 부탁드려요.","제부도 바다 둘레길에 가보셨나요? 가보시지 않으셨다면, 제부도 바다 둘레길을 추천드립니다."
"30대 입니다. 이번에 쇼핑, Well-ness 여행, SNS 인생샷 여행, 인플루언서 따라하기 여행, 시티투어 여행 가려고 합니다. 적당한 여행지를 추천해 주세요.","닥터에 버스의 원 인천점에 가보셨나요? 가보시지 않으셨다면, 닥터에 버스의 원 인천점을 추천드립니다."
"쇼핑, Well-ness 여행, SNS 인생샷 여행, 인플루언서 따라하기 여행, 시티투어(으)로 가려고 하는데, 자가용을 이용 경기도 30대 여행지 추천",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 구월 로데오광장입니다.
"30대 여성이고, 이번에 쇼핑, Well-ness 여행, SNS 인생샷 여행, 인플루언서 따라하기 여행, 시티투어로 여행을 떠납니다. 여행지 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 롯데백화점 인천점입니다.
"수도권에 가 볼 만한 곳이 있을까요? 저는 테마파크, 놀이시설, 동/식물원 방문, 호캉스 여행, 지역 문화예술/공연/전시시설 관람을 좋아하고, 자녀 동반 여행 예정입니다.","양수리 전통시장에 가보셨나요? 가보시지 않으셨다면, 양수리 전통시장을 추천드립니다."
"저는 30대 이고, 3명과 테마파크, 놀이시설, 동/식물원 방문, Well-ness 여행, SNS 인생샷 여행, 신규 여행지 발굴, 인플루언서 따라하기 여행을 떠납니다. 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 롯데백화점 일산점입니다.
"40대 남성이고, 이번에 드라마 촬영지 방문, 신규 여행지 발굴, 친환경 여행(플로깅 여행), 등반 여행, 역사 유적지 방문로 여행을 떠납니다. 여행지 추천 부탁드려요.","연천 호로 고루에 가보셨나요? 가보시지 않으셨다면, 연천 호로 고루을 추천드립니다."
"4명 과 드라마 촬영지 방문, 신규 여행지 발굴, 친환경 여행(플로깅 여행), 등반 여행, 역사 유적지 방문로 여행을 계획하고 있습니다. 여행할 곳 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 임진강 주상절리입니다.
"저는 쇼핑, 온천/스파, SNS 인생샷 여행, 호캉스 여행, 야외 스포츠, 레포츠 활동을 선호하고, 2명과 함께 갈 예정입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 워터하우스입니다.
"쇼핑, 온천/스파, SNS 인생샷 여행, 호캉스 여행, 야외 스포츠, 레포츠 활동(으)로 가려고 하는데, 자가용을 이용 서울특별시 30대 여행지 추천",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 가평 양떼목장입니다.
"저는 20대 이고, 1명과 SNS 인생샷 여행, 인플루언서 따라하기 여행, 시티투어, 지역 문화예술/공연/전시시설 관람을 떠납니다. 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 국립중앙박물관 기획전시실입니다.
"1명 과 SNS 인생샷 여행, 호캉스 여행, 신규 여행지 발굴, 유흥/오락(나이트라이프)로 여행을 계획하고 있습니다. 여행할 곳 추천 부탁드려요.","에델바이스 스위스 테마파크에 가보셨나요? 가보시지 않으셨다면, 에델바이스 스위스 테마파크을 추천드립니다."
"1명과 함께 Well-ness 여행, SNS 인생샷 여행, 인플루언서 따라하기 여행, 시티투어, 야외 스포츠, 레포츠 활동할 예정인데, 괜찮은 여행지를 추천해 줄 수 있나요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 동광 극장입니다.
"1명과 함께 Well-ness 여행, SNS 인생샷 여행, 인플루언서 따라하기 여행, 시티투어, 야외 스포츠, 레포츠 활동할 예정인데, 괜찮은 여행지를 추천해 줄 수 있나요?","파인힐 커피하우스에 가보셨나요? 가보시지 않으셨다면, 파인힐 커피하우스을 추천드립니다."
"저는 40대 이고, 1명과 Well-ness 여행, SNS 인생샷 여행, 인플루언서 따라하기 여행, 시티투어, 야외 스포츠, 레포츠 활동를 가려고 합니다. 여행지 해줘.","니지 모리 스튜디오에 가보셨나요? 가보시지 않으셨다면, 니지 모리 스튜디오을 추천드립니다."
"50대 입니다. 이번에 Well-ness 여행, 신규 여행지 발굴, 캠핑 여행 가려고 합니다. 적당한 여행지를 추천해 주세요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 사노련 숲캠핑장입니다.
" 함께 쇼핑, 시티투어, 지역 문화예술/공연/전시시설 관람, SNS 인생샷 여행, 신규 여행지 발굴, 인플루언서 따라하기 여행할 예정인데, 괜찮은 여행지를 추천해 줄 수 있나요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 경의선 책거리입니다.
"이번 SNS 인생샷 여행, 역사 유적지 방문, 시티투어를 위해 자가용으로 여행가는데, 여행지 추천 해줘.","김포함상공원에 가보셨나요? 가보시지 않으셨다면, 김포함상공원을 추천드립니다."
"이번 SNS 인생샷 여행, 역사 유적지 방문, 시티투어로  함께 여행하려 합니다. 갈 만한 곳이 있을까요?","온수리 교회에 가보셨나요? 가보시지 않으셨다면, 온수리 교회을 추천드립니다."
"이번 SNS 인생샷 여행, 역사 유적지 방문, 시티투어를 위해 자가용으로 여행가는데, 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 전등사입니다.
"저는 20대 이고, 1명과 쇼핑, SNS 인생샷 여행, 인플루언서 따라하기 여행, 시티투어을 떠나려고 합니다. 가 볼 만한 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 서울중앙시장입니다.
"서울특별시에 살고 있는데, 부모 동반 여행여행을 가려고 해요. 갈 만한 여행지가 있나요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 방아머리 해변입니다.
"3명과 함께 인플루언서 따라하기 여행, 유흥/오락(나이트라이프)할 예정인데, 괜찮은 여행지를 추천해 줄 수 있나요?","21아울렛 구로점에 가보셨나요? 가보시지 않으셨다면, 21아울렛 구로점을 추천드립니다."
"대중교통 등을 이용해서 갈 예정인데, 여행할 곳이 필요해요. 1명 과(와) 함께하는 여행입니다.","새문안교회에 가보셨나요? 가보시지 않으셨다면, 새문안교회을 추천드립니다."
"1명과 쇼핑, 테마파크, 놀이시설, 동/식물원 방문, 역사 유적지 방문, 시티투어, 지역 문화예술/공연/전시시설 관람 여행을 떠나는데 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 인왕산 둘레길입니다.
"대중교통 등을 이용해서 갈 예정인데, 여행할 곳이 필요해요. 1명 과(와) 함께하는 여행입니다.","서울 테마산책길 진경산수화길에 가보셨나요? 가보시지 않으셨다면, 서울 테마산책길 진경산수화길을 추천드립니다."
"30대 입니다. 이번에 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 야외 스포츠, 레포츠 활동 여행 가려고 합니다. 적당한 여행지를 추천해 주세요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 아침 고요 가족 동물원입니다.
2인 여행(가족 외)로 1명 과 여행지 추천,유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 삼동 소바 판교점입니다.
" 함께 SNS 인생샷 여행, 인플루언서 따라하기 여행, 친환경 여행(플로깅 여행)할 예정인데, 괜찮은 여행지를 추천해 줄 수 있나요?","양재천 자전거길에 가보셨나요? 가보시지 않으셨다면, 양재천 자전거길을 추천드립니다."
"30대 여성이고, 이번에 SNS 인생샷 여행, 인플루언서 따라하기 여행, 친환경 여행(플로깅 여행)로 여행을 떠납니다. 여행지 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 이 풀 실내정원입니다.
"자가용을 이용해서 갈 예정인데, 여행할 곳이 필요해요. 0명 과(와) 함께하는 여행입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 한스 과천점입니다.
"1명과 함께 드라마 촬영지 방문, Well-ness 여행, SNS 인생샷 여행, 신규 여행지 발굴, 친환경 여행(플로깅 여행)할 예정인데, 괜찮은 여행지를 추천해 줄 수 있나요?","두물머리 연 핫도그에 가보셨나요? 가보시지 않으셨다면, 두물머리 연 핫도그을 추천드립니다."
"경기도 20대 여성, 여행지 추천",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 콩 툰 대학로점입니다.
"1명과 SNS 인생샷 여행, Well-ness 여행, 친환경 여행(플로깅 여행), 역사 유적지 방문, 쇼핑, 드라마 촬영지 방문, 등반 여행, 종교/성지 순례, 유흥/오락(나이트라이프) 여행을 떠나는데 여행지 추천 해줘.","라온 아트홀에 가보셨나요? 가보시지 않으셨다면, 라온 아트홀을 추천드립니다."
